"id","name","pitches","rv_tot","pct_tot","rv_11","pct_11","rv_12","pct_12","rv_13","pct_13","rv_14","pct_14","rv_16","pct_16","rv_17","pct_17","rv_18","pct_18","rv_19","pct_19"
682626,"Alvarez, Francisco",5303,-4.816294906181541,0.40880195599022007,0,0.1724137931034483,0,0.4653846153846154,-1,0.13253012048192772,-3,0.472636815920398,-2,0.5773480662983426,0,0.25,1,0.47058823529411764,-1,0.19786096256684493
666023,"Fermin, Freddy",6775,-0.5820703425559415,0.43566926214312196,0,0.18232044198895028,-2,0.3902439024390244,-1,0.12883435582822086,3,0.5873320537428023,-2,0.615234375,1,0.32085561497326204,0,0.4767932489451477,0,0.21686746987951808
686948,"Baldwin, Drake",6426,-1.024215046388428,0.4160938131823696,-1,0.14102564102564102,-1,0.3588709677419355,-1,0.12048192771084337,2,0.5513833992094862,-4,0.5378973105134475,2,0.35096153846153844,2,0.47796610169491527,0,0.1978021978021978
669224,"Wells, Austin",8666,11.891828030854612,0.44587706146926537,-1,0.11057692307692307,-4,0.3575,-1,0.164021164021164,1,0.5356550580431177,3,0.6211180124223602,2,0.27802690582959644,7,0.5878877400295421,3,0.27365728900255754
666310,"Naylor, Bo",8411,-2.711540142133679,0.4203157581173667,1,0.1856060606060606,0,0.42570281124497994,0,0.19900497512437812,4,0.5993265993265994,-3,0.5621387283236994,-1,0.20361990950226244,-3,0.43278688524590164,-1,0.20216606498194944
650968,"Pozo, Yohel",2688,1.8699890029777122,0.43779677113010446,0,0.1794871794871795,1,0.4899328859060403,0,0.3333333333333333,1,0.6101694915254238,-1,0.5480225988700564,0,0.2978723404255319,0,0.4708333333333333,-1,0.13333333333333333
680777,"Jeffers, Ryan",5854,-1.0676086965165115,0.41805023414218817,0,0.16417910447761194,-1,0.4492307692307692,-1,0.12658227848101267,1,0.559322033898305,0,0.5577889447236181,0,0.272108843537415,-1,0.45322245322245325,0,0.1991869918699187
689414,"Hicks, Liam",3870,0.36085457548569544,0.4122085048010974,0,0.18110236220472442,1,0.4861878453038674,0,0.24489795918367346,-2,0.4689655172413793,0,0.6051282051282051,0,0.2247191011235955,2,0.4956521739130435,0,0.1813186813186813
696100,"Goodman, Hunter",7395,1.501171470702932,0.43441762854144805,0,0.14666666666666667,1,0.504950495049505,1,0.25,-1,0.5299837925445705,2,0.6112115732368897,1,0.24630541871921183,-2,0.4629981024667932,0,0.21498371335504887
682663,"Ramírez, Agustín",5217,0.5221069772478608,0.44136566056407717,-1,0.09395973154362416,-1,0.421875,0,0.12121212121212122,-3,0.4975,0,0.6158357771260997,0,0.3416666666666667,4,0.5590200445434298,1,0.25416666666666665
643376,"Jansen, Danny",5991,-8.399299075688099,0.39110169491525426,0,0.14218009478672985,0,0.4358974358974359,-1,0.10569105691056911,-1,0.5242718446601942,0,0.5707865168539326,-1,0.25984251968503935,-6,0.37122969837587005,-1,0.21266968325791855
663743,"Fortes, Nick",4968,2.312559508409667,0.43933265925176945,0,0.1348314606741573,0,0.4224137931034483,-1,0.12307692307692308,-1,0.5645833333333333,-1,0.5555555555555556,0,0.2974683544303797,4,0.5615212527964206,0,0.2
669257,"Smith, Will",7621,-9.798652103693799,0.39792849983294354,-1,0.1073170731707317,-4,0.3333333333333333,-1,0.15584415584415584,-2,0.526508226691042,-3,0.537521815008726,-1,0.22857142857142856,1,0.48756218905472637,0,0.2459016393442623
672275,"Bailey, Patrick",8913,25.079035150583493,0.4765824581322736,2,0.22900763358778625,5,0.5292929292929293,3,0.2682926829268293,6,0.6118012422360248,3,0.597544338335607,2,0.36585365853658536,2,0.5051194539249146,2,0.2347266881028939
668939,"Rutschman, Adley",4952,2.427083320274255,0.4348750664540138,1,0.17557251908396945,0,0.42916666666666664,0,0.22448979591836735,1,0.5668604651162791,1,0.6136363636363636,1,0.323943661971831,-1,0.43869209809264303,0,0.25120772946859904
641680,"Heim, Jonah",6648,-2.041828986283639,0.41839762611275966,0,0.11801242236024845,-2,0.37404580152671757,0,0.15966386554621848,-2,0.4875239923224568,3,0.6040145985401459,-1,0.1927710843373494,-1,0.5196428571428572,2,0.233983286908078
521692,"Perez, Salvador",6612,-6.596306868153176,0.3971201212580523,0,0.16517857142857142,-2,0.4095238095238095,0,0.1896551724137931,3,0.5678776290630975,-4,0.5,-1,0.22099447513812154,-1,0.4520255863539446,0,0.1926605504587156
543510,"McCann, James",2550,-1.7942650073247968,0.4148430066603235,1,0.1875,-1,0.3652173913043478,0,0.13157894736842105,0,0.5445544554455446,0,0.565,0,0.2247191011235955,1,0.5043859649122807,-1,0.16521739130434782
686780,"Pagés, Pedro",7687,4.96092961582603,0.44664031620553357,0,0.17370892018779344,0,0.44306418219461696,0,0.17880794701986755,-2,0.5216494845360825,3,0.6578014184397163,0,0.31683168316831684,3,0.5272727272727272,1,0.2132132132132132
668670,"Rogers, Jake",2823,0.9256372883679279,0.4143897996357013,0,0.15942028985507245,0,0.44144144144144143,0,0.16666666666666666,0,0.5272727272727272,-1,0.49444444444444446,0,0.26373626373626374,1,0.5229007633587787,0,0.17886178861788618
691019,"Teel, Kyle",4608,-0.3779645678227872,0.40011068068622024,-1,0.13095238095238096,1,0.4497991967871486,0,0.20618556701030927,-2,0.4479768786127168,1,0.6269113149847095,0,0.21839080459770116,0,0.4506172839506173,1,0.21052631578947367
645444,"Herrera, Jose",4237,-0.46449137681079145,0.40933899332929047,-1,0.09565217391304348,0,0.44559585492227977,0,0.20430107526881722,-1,0.4722222222222222,3,0.6409495548961425,0,0.20833333333333334,-2,0.4495677233429395,1,0.22395833333333334
665966,"Narváez, Carlos",7870,4.99577369168239,0.42970737913486007,-1,0.12442396313364056,3,0.48519362186788156,0,0.1836734693877551,1,0.5394495412844037,2,0.6151419558359621,0,0.22549019607843138,-1,0.4591503267973856,1,0.21548821548821548
663728,"Raleigh, Cal",8797,7.033476695343997,0.4364431486880466,1,0.17647058823529413,2,0.4742489270386266,2,0.2857142857142857,2,0.5774410774410774,2,0.600547195622435,0,0.22549019607843138,-3,0.4661016949152542,0,0.18716577540106952
