"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Semien, Marcus",543760,"TEX","SI","Sinker",0.1,0,"399",19.2,"102","0.282","0.365","0.355",12.1,10.8,14.7,"0.298","0.431","0.371",44
"Doyle, Brenton",686668,"COL","SL","Slider",-0.6,-2,"348",17.8,"102","0.215","0.376","0.278",38.9,29.4,26.3,"0.211","0.348","0.267",35.4
"Meyers, Jake",676694,"HOU","FF","4-Seam Fastball",0.2,1,"351",26.2,"102","0.299","0.402","0.369",14,13.7,14.7,"0.286","0.476","0.376",45.9
"Lile, Daylen",695734,"WSH","FF","4-Seam Fastball",0.5,2,"439",33.6,"102","0.27","0.573","0.39",14.2,5.9,4.9,"0.337","0.606","0.43",51.2
"Goldschmidt, Paul",502671,"NYY","SI","Sinker",-1.6,-6,"338",16.2,"102","0.253","0.421","0.318",17.1,15.7,21.6,"0.264","0.481","0.335",46.3
"Ramírez, Agustín",682663,"MIA","SL","Slider",-2.6,-10,"378",17.8,"102","0.178","0.267","0.208",28.2,19.6,19.2,"0.212","0.326","0.235",33.3
"Saggese, Thomas",695336,"STL","FF","4-Seam Fastball",-1.4,-7,"472",39.9,"102","0.211","0.267","0.272",27.8,32.4,20,"0.208","0.32","0.277",55.2
"Kirk, Alejandro",672386,"TOR","SL","Slider",0.1,0,"370",18.7,"101","0.226","0.366","0.289",19.7,10.9,9.6,"0.257","0.469","0.339",42.7
"Freeman, Freddie",518692,"LAD","SI","Sinker",0.4,1,"301",12.6,"101","0.283","0.446","0.356",21.4,14.9,19.5,"0.311","0.505","0.39",51.3
"Rojas, Miguel",500743,"LAD","FF","4-Seam Fastball",0.6,2,"373",32,"101","0.284","0.443","0.362",9.8,12.9,12.7,"0.23","0.36","0.31",32
"Torkelson, Spencer",679529,"DET","SL","Slider",0.3,1,"417",15.8,"101","0.242","0.442","0.324",39.5,37.6,26.6,"0.203","0.357","0.264",47.4
"Naylor, Josh",647304,"SEA","SI","Sinker",1.4,4,"306",15.2,"101","0.344","0.478","0.397",15.2,14.9,25.4,"0.26","0.425","0.33",51.3
"Rafaela, Ceddanne",678882,"BOS","SI","Sinker",-2.5,-9,"364",17.1,"101","0.228","0.261","0.265",14.9,7.9,12.7,"0.26","0.371","0.306",41.2
"Garcia, Maikel",672580,"KC","SL","Slider",-0.3,-1,"410",16.3,"101","0.284","0.421","0.315",18.6,10.9,12,"0.278","0.398","0.301",44.2
"Iglesias, Jose",578428,"SD","FF","4-Seam Fastball",-0.5,-2,"483",35.3,"101","0.253","0.396","0.322",14,14.9,10.6,"0.276","0.394","0.322",37.2
"Realmuto, J.T.",592663,"PHI","SL","Slider",0.7,3,"403",18.4,"101","0.264","0.374","0.319",28.9,26.7,17.4,"0.244","0.367","0.306",45.3
"Marte, Ketel",606466,"AZ","CH","Changeup",2.1,7,"353",16.8,"100","0.295","0.547","0.374",29.8,17,16.7,"0.288","0.478","0.345",43.6
"Sweeney, Trey",700242,"DET","FF","4-Seam Fastball",-1.4,-5,"403",33.8,"100","0.203","0.278","0.299",28.1,24,20.5,"0.201","0.287","0.3",42.1
"Yelich, Christian",592885,"MIL","SL","Slider",0.2,1,"382",14.7,"100","0.274","0.411","0.325",41.2,38,28.1,"0.221","0.388","0.279",47.4
"Polanco, Jorge",593871,"SEA","CH","Changeup",0.7,3,"382",18.9,"100","0.242","0.44","0.313",36.8,18,14.1,"0.225","0.377","0.292",26.7
"Turner, Trea",607208,"PHI","SL","Slider",1.6,6,"389",16.2,"100","0.275","0.549","0.381",32.8,21,15.1,"0.238","0.45","0.32",40.8
"Wagaman, Eric",676572,"MIA","SI","Sinker",-0.4,-1,"344",17.6,"99","0.292","0.438","0.326",10.3,15.2,22.1,"0.288","0.467","0.333",59.3
"Straw, Myles",664702,"TOR","FF","4-Seam Fastball",-0.1,0,"403",36.5,"99","0.256","0.407","0.326",22.2,23.2,19.7,"0.218","0.39","0.293",32.4
"Toro, Abraham",647351,"BOS","FF","4-Seam Fastball",0.5,2,"369",33.4,"99","0.261","0.466","0.357",16.7,14.1,14.3,"0.248","0.415","0.323",38.2
"Langeliers, Shea",669127,"ATH","SI","Sinker",3.2,9,"299",15.5,"99","0.359","0.696","0.459",12.7,6.1,13.3,"0.322","0.631","0.423",53.5
"Naylor, Josh",647304,"SEA","SL","Slider",-0.6,-2,"346",17.2,"98","0.222","0.389","0.298",34.2,19.4,21.3,"0.2","0.36","0.273",31.9
"Crow-Armstrong, Pete",691718,"CHC","CH","Changeup",1.6,4,"283",12.2,"98","0.319","0.457","0.362",21.5,9.2,11,"0.321","0.521","0.365",47.7
"Olson, Matt",621566,"ATL","SL","Slider",0.2,1,"457",14.5,"98","0.228","0.391","0.291",32.4,34.7,22.2,"0.214","0.425","0.296",53.4
"Pham, Tommy",502054,"PIT","SI","Sinker",-0.4,-1,"340",19.9,"98","0.261","0.352","0.337",9.9,9.2,12.3,"0.274","0.403","0.334",55.7
"Diaz, Yainer",673237,"HOU","SI","Sinker",0.9,2,"282",15.1,"98","0.358","0.537","0.409",9.7,6.1,13.6,"0.324","0.537","0.378",44.9
"Perdomo, Geraldo",672695,"AZ","SI","Sinker",1.5,6,"358",11.9,"98","0.354","0.561","0.443",9.4,13.3,14.1,"0.264","0.431","0.362",53.6
"Lowe, Nathaniel",663993,"BOS","SI","Sinker",-1.5,-6,"391",15,"98","0.25","0.315","0.304",14.8,15.3,14.9,"0.232","0.294","0.258",42.9
"Neto, Zach",687263,"LAA","SL","Slider",0.2,1,"378",17.4,"98","0.272","0.467","0.328",36.4,30.6,21.1,"0.236","0.444","0.308",35.9
"Harper, Bryce",547180,"PHI","SL","Slider",0.8,3,"385",17.7,"98","0.225","0.472","0.339",42.6,29.6,22.1,"0.201","0.334","0.271",38.3
"Witt Jr., Bobby",677951,"KC","SI","Sinker",-0.6,-2,"322",12.8,"98","0.276","0.437","0.352",13.4,10.2,19.2,"0.31","0.522","0.4",57
"Davis, Henry",680779,"PIT","FF","4-Seam Fastball",-1.8,-6,"334",31.2,"98","0.184","0.299","0.258",29.9,26.5,21.3,"0.225","0.413","0.314",38.7
"Yelich, Christian",592885,"MIL","SI","Sinker",0.2,1,"391",15,"98","0.259","0.388","0.348",19,17.3,17.9,"0.255","0.38","0.329",45.6
"Torres, Gleyber",650402,"DET","SL","Slider",-0.8,-4,"439",16.6,"97","0.187","0.275","0.24",25,18.6,12.6,"0.217","0.345","0.269",28.8
"Story, Trevor",596115,"BOS","SI","Sinker",0.5,2,"345",14,"97","0.348","0.494","0.389",14.6,10.3,18.2,"0.327","0.501","0.381",60
"Hayes, Ke'Bryan",663647,"CIN","SL","Slider",0.2,1,"345",16.1,"97","0.261","0.409","0.33",30.1,18.6,17,"0.277","0.388","0.325",48.6
"Soderstrom, Tyler",691016,"ATH","CH","Changeup",2,7,"333",15,"97","0.267","0.533","0.363",21.8,12.4,11.9,"0.266","0.52","0.356",42.3
"Ozuna, Marcell",542303,"ATL","SL","Slider",0.2,1,"442",16.8,"97","0.185","0.37","0.306",34.9,26.8,16.1,"0.211","0.454","0.333",43.9
